"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentManager.cs", "C#", 18, 0, 4, 22
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentSystem.cs", "C#", 4, 0, 0, 4
"c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\ItemEntityComponent.cs", "C#", 4, 0, 1, 5
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\EntitySystem.cs", "C#", 4, 0, 2, 6
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemComponentSystem.cs", "C#", 7, 0, 1, 8
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemEntitySystem.cs", "C#", 50, 0, 6, 56
"c:\Users\Administrator\Documents\horizoncraft\script\Components\TickSystem.cs", "C#", 25, 0, 2, 27
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\ClientEntityBehavior.cs", "C#", 14, 3, 3, 20
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityBehaviorBase.cs", "C#", 20, 3, 3, 26
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityData.cs", "C#", -2, 0, -1, -3
"c:\Users\Administrator\Documents\horizoncraft\script\Events\EntityTickEvent.cs", "C#", 16, 0, 3, 19
"c:\Users\Administrator\Documents\horizoncraft\script\Events\PlayerEvents.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Events\SystemEvents\EntitySystemEvent.cs", "C#", 10, 0, 2, 12
"c:\Users\Administrator\Documents\horizoncraft\script\Expand\MathExpand.cs", "C#", 57, 20, 10, 87
"c:\Users\Administrator\Documents\horizoncraft\script\Inventory\ItemStack.cs", "C#", 17, 0, 1, 18
"c:\Users\Administrator\Documents\horizoncraft\script\Net\ChunkPack.cs", "C#", 13, 0, 1, 14
"c:\Users\Administrator\Documents\horizoncraft\script\Net\EntityDataSnapShot.cs", "C#", -6, 0, -1, -7
"c:\Users\Administrator\Documents\horizoncraft\script\Net\EntityUuidPack.cs", "C#", 17, 0, 3, 20
"c:\Users\Administrator\Documents\horizoncraft\script\Net\UUIDPack.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\Net\WorldProfile.cs", "C#", 4, 0, 0, 4
"c:\Users\Administrator\Documents\horizoncraft\script\PlayerData.cs", "C#", -12, 1, -1, -12
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\ChunkServiceBase.cs", "C#", 2, 0, 5, 7
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\HostChunkService.cs", "C#", 25, 2, 2, 29
"c:\Users\Administrator\Documents\horizoncraft\script\Services\entity\EntityServiceBase.cs", "C#", 48, 0, 5, 53
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\ClientPlayerService.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\HostPlayerService.cs", "C#", -1, 0, 1, 0
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\PlayerServiceBase.cs", "C#", 20, 6, 3, 29
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\ClientWorldService.cs", "C#", 12, 1, 3, 16
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\HostWorldService.cs", "C#", -9, 0, 0, -9
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\PreviewWorldService.cs", "C#", 5, 0, 2, 7
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\SingleWorldService.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\WorldServiceBase.cs", "C#", 46, 1, 7, 54
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Chunk.cs", "C#", 9, 0, 1, 10
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Tool\SqliteTool.cs", "C#", 36, 0, 6, 42
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\WorldGenerator.cs", "C#", 0, 0, 1, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\PlainBiome.cs", "C#", -1, 0, 0, -1
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\ChunkServiceNode.cs", "C#", 2, 0, 1, 3
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\EntityServiceNode.cs", "C#", 13, 4, 0, 17
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\PlayerServiceNode.cs", "C#", 1, 0, 0, 1
"Total", "-", 475, 41, 76, 592
